"Sample Date","Facility","Species","Salvage","Acrefeet"
2022-04-18,SWP,26,0,1052
2022-01-08,SWP,26,0,3140
2022-05-14,CVP,26,0,1788
2022-03-29,SWP,26,0,5171
2023-03-26,SWP,26,0,13266
2023-01-09,SWP,26,0,3807
2022-08-13,SWP,26,0,1183
2023-02-01,SWP,26,0,13291
2023-04-07,CVP,26,0,1612
2022-08-18,SWP,26,0,1333
2022-12-29,CVP,26,0,4066
2023-01-02,SWP,26,0,8725
2023-03-20,CVP,26,0,8584
2022-08-15,CVP,26,0,5392
2022-02-02,SWP,26,0,1276
2023-02-16,CVP,26,0,7275
2022-02-06,SWP,26,0,1247
2023-02-04,CVP,26,0,8386
2023-03-19,SWP,26,0,13272
2022-02-12,CVP,26,0,3362
2022-07-10,CVP,26,0,4705
2022-07-22,CVP,26,0,5387
2021-12-06,CVP,26,0,1758
2021-12-09,CVP,26,0,1667
2022-06-23,SWP,26,0,719
2023-01-05,SWP,26,0,5478
2022-12-26,CVP,26,0,1804
2023-03-10,SWP,26,0,13881
2022-06-03,CVP,26,0,1819
2022-03-23,SWP,26,0,1686
2022-11-23,CVP,26,0,3635
2021-11-14,CVP,26,0,7075
2022-01-10,CVP,26,0,8037
2022-04-23,CVP,26,0,1772
2022-02-18,CVP,26,0,3359
2022-04-01,SWP,26,0,1034
2022-04-22,SWP,26,0,1074
2022-03-11,CVP,26,0,1623
2022-04-18,CVP,26,0,1801
2021-11-24,SWP,26,0,818
2022-09-20,CVP,26,0,5368
2023-02-20,CVP,26,0,6941
2023-01-03,CVP,26,0,6994
2022-02-20,CVP,26,0,3149
2022-06-15,SWP,26,0,361
2023-04-05,CVP,26,0,6933
2022-08-07,SWP,26,0,1092
2021-12-30,SWP,26,0,1680
2022-04-23,SWP,26,0,1057
2023-01-06,CVP,26,0,6953
2022-06-22,CVP,26,0,1823
2023-01-19,CVP,26,0,8134
2022-12-05,CVP,26,0,1588
