"StationCode","Tag","dist_km"
"23-30-SB05","RBP",12.7246212024587
"23-30-SD02","RBP",17.3482756057297
"23-30-SD03","RBP",13.5426406871193
"23-30-SD04","RBP",31.1222871427475
"23-30-SD06","RBP",33.7657900270019
"23-30-SD07","RBP",33.44152595829
"23-30-SM02","RBP",34.3625937701554
"23-30-SM03","RBP",30.7841666454093
"23-30-SM04","RBP",38.3410208949014
"23-30-SSC01","RBP",57.0167568261893
"23-30-SSC02","RBP",51.2353859762909
"23-30-SSC03","RBP",31.7592929112564
"23-30-WD01","RBP",52.1113744392731
"23-30-WD03","RBP",52.4634559672902
"23-30-WD04","RBP",47.9042676580866
"23-31-CS01","RBP",22.9101551083915
"23-31-CS02","RBP",20.2622366364086
"23-31-CS03","RBP",19.5243686707646
"23-31-LSJ01","RBP",14.5474134085945
"23-31-LSJ02","RBP",12.2252308678997
"23-31-LSJ03","RBP",7.4920310216783
"23-31-LSJ04","RBP",12.0683766184073
"23-31-LSJ05","RBP",14.9811183182043
"23-31-LSJ06","RBP",8.20416305603426
"23-31-LSR01","RBP",8.34472221513642
"23-31-LSR02","RBP",4.76837661840736
"23-31-LSR03","RBP",10.7553823869162
"23-31-LSR04","RBP",0.832842712474619
"23-31-LSR05","RBP",7.42401153701777
"23-31-LSR06","RBP",9.07253967444162
"23-31-SB01","RBP",20.1681240867132
"23-31-SB02","RBP",12.4760930650348
"23-31-SB03","RBP",31.1365007051206
"23-31-SB04","RBP",35.278784258493
"23-31-SB05","RBP",24.1858910396796
"23-31-SB06","RBP",33.8829473145273
"23-31-SD01","RBP",35.7107647738325
"23-31-SD02","RBP",19.4704581464245
"23-31-SD03","RBP",27.8243686707646
"23-31-SD04","RBP",28.7222871427475
"23-31-SD06","RBP",34.9400540957138
"23-31-SM01","RBP",20.0358910396796
"23-31-SM02","RBP",32.4084307141212
"23-31-SM03","RBP",35.4889393668844
"23-31-SSC01","RBP",36.1477705423413
"23-31-SSC02","RBP",49.0060966544095
"23-31-SSC03","RBP",11.790306627408
"23-31-WD01","RBP",49.1456890143239
"23-31-WD02","RBP",56.2255880016462
"23-31-WD03","RBP",52.6942171517477
"23-32-CS03","RBP",21.7107647738325
"23-32-CS04","RBP",20.2122366364086
"23-32-CS05","RBP",22.5486327394765
"23-32-LSJ01","RBP",10.0319805153395
"23-32-LSJ02","RBP",13.3909162928489
"23-32-LSJ03","RBP",24.0323376490863
"23-32-LSJ04","RBP",14.0947222151364
"23-32-LSJ06","RBP",13.1547727214752
"23-32-LSJ07","RBP",23.9273123959169
"23-32-LSR01","RBP",3.6142135623731
"23-32-LSR02","RBP",2.04705627484772
"23-32-LSR03","RBP",7.54974746830584
"23-32-LSR04","RBP",7.58822509939087
"23-32-LSR05","RBP",3.28700576850888
"23-32-LSR06","RBP",5.11335136523795
"23-32-SB01","RBP",33.4116269709677
"23-32-SB03","RBP",22.5373629022557
"23-32-SB04","RBP",26.9465512114595
"23-32-SB06","RBP",12.5959415460184
"23-32-SB07","RBP",20.3888347648318
"23-32-SB10","RBP",12.7687337521541
"23-32-SD01","RBP",32.9086832458154
"23-32-SD02","RBP",30.6222871427475
"23-32-SD03","RBP",30.2429978208661
"23-32-SD04","RBP",28.1858910396796
"23-32-SD05","RBP",26.7157900270019
"23-32-SD06","RBP",19.7068542494924
"23-32-SM01","RBP",34.7818325856979
"23-32-SM02","RBP",33.6655374953078
"23-32-SM03","RBP",25.6279220613579
"23-32-SSC01","RBP",36.8013239329345
"23-32-SSC02","RBP",19.4066017177982
"23-32-SSC03","RBP",15.6580735803743
"23-32-WD01","RBP",51.6027957955104
"23-32-WD02","RBP",56.3812229202566
"23-32-WD03","RBP",52.2554869889685
"23-33-CS01","RBP",20.0030483272049
"23-33-CS02","RBP",20.3708152801713
"23-33-CS03","RBP",21.0865007051206
"23-33-LSJ01","RBP",24.8308657865101
"23-33-LSJ03","RBP",13.6767027304758
"23-33-LSJ04","RBP",21.3873629022557
"23-33-LSJ05","RBP",21.9545201897811
"23-33-LSJ06","RBP",11.9267027304758
"23-33-LSJ07","RBP",13.0754833995939
"23-33-LSR01","RBP",9.7089357775095
"23-33-LSR02","RBP",5.44116882454315
"23-33-LSR03","RBP",2.45416305603426
"23-33-LSR04","RBP",5.51335136523794
"23-33-LSR05","RBP",8.60893577750952
"23-33-LSR06","RBP",4.94974746830584
"23-33-SB01","RBP",36.3687337521541
"23-33-SB02","RBP",30.4063491861041
"23-33-SB03","RBP",12.716652224137
"23-33-SB04","RBP",36.5459415460183
"23-33-SB05","RBP",34.2394444302728
"23-33-SB06","RBP",22.6852813742386
"23-33-SD01","RBP",29.0101551083915
"23-33-SD02","RBP",20.9932503525603
"23-33-SD04","RBP",15.0740115370177
"23-33-SD05","RBP",26.1009667991878
"23-33-SD06","RBP",19.5497474683058
"23-33-SM01","RBP",33.3619841047145
"23-33-SM02","RBP",31.3341666454093
"23-33-SM03","RBP",18.9702056147303
"23-33-SSC01","RBP",49.4560966544095
"23-33-SSC02","RBP",56.775335469952
"23-33-SSC03","RBP",28.5486327394766
"23-33-WD01","RBP",55.6924927574774
"23-33-WD02","RBP",42.3057395206628
"23-33-WD03","RBP",54.2462986797649
"23-34-CS01","RBP",27.9693434175952
"23-34-CS03","RBP",25.5199530830362
"23-34-CS04","RBP",19.8323376490863
"23-34-CS06","RBP",18.4844191771034
"23-34-LSJ01","RBP",16.9533008588991
"23-34-LSJ02","RBP",23.9616269709676
"23-34-LSJ03","RBP",10.8917784899841
"23-34-LSJ04","RBP",12.5441125496954
"23-34-LSJ05","RBP",14.5740115370177
"23-34-LSJ06","RBP",8.73700576850888
"23-34-LSR01","RBP",8.54177848998414
"23-34-LSR02","RBP",7.97106781186548
"23-34-LSR03","RBP",1.92426406871193
"23-34-LSR04","RBP",6.49116882454315
"23-34-LSR05","RBP",10.1053823869162
"23-34-LSR07","RBP",4.13050865276333
"23-34-SB01","RBP",23.9429978208662
"23-34-SB03","RBP",31.7944696834423
"23-34-SB04","RBP",23.2559920523573
"23-34-SB05","RBP",38.2415259582898
"23-34-SB06","RBP",26.5373629022558
"23-34-SB07","RBP",26.64152595829
"23-34-SD01","RBP",28.8737590053236
"23-34-SD02","RBP",30.0137084989848
"23-34-SD03","RBP",17.1876154339498
"23-34-SD04","RBP",12.6476659402887
"23-34-SD05","RBP",19.677564927611
"23-34-SD06","RBP",47.7661471607486
"23-34-SM01","RBP",31.8412734265959
"23-34-SM04","RBP",34.0883297014435
"23-34-SM05","RBP",33.7048773235279
"23-34-SSC01","RBP",21.5808657865101
"23-34-SSC02","RBP",12.1731493398826
"23-34-SSC03","RBP",30.2021861300699
"23-34-WD01","RBP",52.9163996924425
"23-34-WD02","RBP",54.2791413922395
"23-34-WD03","RBP",50.121424945612
"23-35-CS01","RBP",20.8944696834422
"23-35-CS03","RBP",19.5950793488832
"23-35-CS05","RBP",24.3986327394765
"23-35-LSJ01","RBP",13.8130988335437
"23-35-LSJ02","RBP",11.0124891681028
"23-35-LSJ03","RBP",12.3976659402887
"23-35-LSJ04","RBP",20.1645706961199
"23-35-LSJ05","RBP",11.0474134085945
"23-35-LSJ06","RBP",18.9323376490863
"23-35-LSR01","RBP",7.58822509939087
"23-35-LSR02","RBP",5.22045814642449
"23-35-LSR03","RBP",1.08284271247462
"23-35-LSR04","RBP",4.04766594028871
"23-35-LSR05","RBP",10.1053823869162
"23-35-LSR06","RBP",5.20060966544099
